Head;-0.02845094;0.7953885;2.586351
Shoulder-Center;-0.01007896;0.6364418;2.609512
Shoulder-Right;0.02592668;0.4859544;2.466846
Shoulder-Left;0.02815875;0.3025993;2.432657
Elbow-Right;0.07640454;0.283133;2.377785
Elbow-Left;0.02133219;0.1101851;2.342309
Wrist-Right;-0.003952064;0.0485933;2.342648
Wrist-Left;-0.1129728;0.07186447;2.563852
Hand-Right;-0.03491365;-0.01741201;2.354896
Hand-Left;-0.1714047;-0.01992598;2.667762
Spine;-0.07590929;0.1866629;2.535528
Hip-centro;-0.05240498;0.08996442;2.56602
Hip-Right;-0.0622596;0.05532872;2.572145
Hip-Left;-0.05218426;0.04130767;2.553447
Knee-Right;0.04352561;-0.3369331;2.533142
Knee-Left;-0.04563818;-0.3681221;2.716675
Ankle-Right;0.08793103;-0.6665676;2.52232
Ankle-Left;-0.001235061;-0.6409979;2.735974
Foot-Right;0.03853168;-0.7267708;2.505344
Foot-Left;0.05054331;-0.6851594;2.794123
Head;-0.02594509;0.7958545;2.586596
Shoulder-Center;-0.01005324;0.6363505;2.609478
Shoulder-Right;0.02428787;0.4845238;2.467856
Shoulder-Left;-0.08545092;0.3241014;2.515618
Elbow-Right;0.07608826;0.2846369;2.37809
Elbow-Left;-0.001837105;0.07924449;2.397284
Wrist-Right;-0.003917355;0.04875306;2.342664
Wrist-Left;-0.1411114;0.06035939;2.61856
Hand-Right;-0.03516627;-0.01744756;2.3545
Hand-Left;-0.1735026;-0.01720638;2.674965
Spine;-0.01007238;0.172242;2.603541
Hip-centro;-0.03894186;0.08643766;2.557772
Hip-Right;0.005262285;0.04424865;2.540259
Hip-Left;-0.05592859;0.04057626;2.552998
Knee-Right;0.0461853;-0.3591329;2.53115
Knee-Left;-0.04569949;-0.369871;2.718632
Ankle-Right;0.08786148;-0.6664422;2.522267
Ankle-Left;-0.001615865;-0.6421884;2.735898
Foot-Right;0.03859148;-0.7266017;2.505292
Foot-Left;-0.02972115;-0.7125636;2.741909
Head;-0.02232552;0.7967248;2.589821
Shoulder-Center;-0.01114723;0.6360478;2.611195
Shoulder-Right;0.02459175;0.4825007;2.468671
Shoulder-Left;-0.05419814;0.2842847;2.499219
Elbow-Right;0.07431029;0.2672433;2.378541
Elbow-Left;0.02283627;0.04034193;2.372672
Wrist-Right;-0.004711405;0.04789861;2.342933
Wrist-Left;-0.1224791;0.05261806;2.590822
Hand-Right;-0.03560874;-0.01734772;2.353942
Hand-Left;-0.173602;-0.01828806;2.674591
Spine;-0.001138449;0.1681336;2.598956
Hip-centro;-0.03178382;0.08077323;2.553696
Hip-Right;0.005579287;0.04021482;2.54321
Hip-Left;-0.05463085;0.03222658;2.543428
Knee-Right;0.04723731;-0.3631689;2.530104
Knee-Left;-0.04557887;-0.3690716;2.716698
Ankle-Right;0.08769649;-0.666312;2.522268
Ankle-Left;-0.001528241;-0.6407669;2.735562
Foot-Right;0.03866774;-0.7261059;2.503841
Foot-Left;-0.03163283;-0.7103316;2.740488
Head;-0.02216911;0.7966138;2.589808
Shoulder-Center;-0.01128133;0.6358174;2.611281
Shoulder-Right;0.02584728;0.4810881;2.468061
Shoulder-Left;-0.05387107;0.2840351;2.498478
Elbow-Right;0.06627966;0.2517295;2.375832
Elbow-Left;0.008178577;0.03406881;2.376103
Wrist-Right;-0.004218677;0.04983346;2.343283
Wrist-Left;-0.1300229;0.05090379;2.598448
Hand-Right;-0.03603695;-0.0177967;2.354235
Hand-Left;-0.1738032;-0.01877343;2.673227
Spine;-0.001516702;0.1630085;2.605999
Hip-centro;-0.03164005;0.07339422;2.562212
Hip-Right;0.0003301599;0.02885208;2.562235
Hip-Left;-0.05999731;0.02072958;2.554676
Knee-Right;0.04838016;-0.3733405;2.52918
Knee-Left;-0.04553318;-0.3691127;2.71665
Ankle-Right;0.08737631;-0.6661241;2.52253
Ankle-Left;-0.003089345;-0.6480631;2.737266
Foot-Right;0.03883371;-0.7259976;2.503429
Foot-Left;-0.03862469;-0.7148227;2.743605
Head;-0.02293529;0.7954513;2.589234
Shoulder-Center;-0.01118016;0.6349933;2.611069
Shoulder-Right;0.02525647;0.4803207;2.468748
Shoulder-Left;-0.05292341;0.2829931;2.496922
Elbow-Right;0.0766058;0.2944181;2.378245
Elbow-Left;0.04192396;0.04059824;2.382309
Wrist-Right;-0.004189397;0.04946715;2.343518
Wrist-Left;-0.1159739;0.05334543;2.592265
Hand-Right;-0.03623233;-0.01827973;2.354678
Hand-Left;-0.173081;-0.01894593;2.670547
Spine;-0.006239779;0.1618096;2.613174
