Head;0.1552116;0.6759388;2.723703
Shoulder-Center;0.1356243;0.5050213;2.744101
Shoulder-Right;0.2674784;0.3871116;2.709398
Shoulder-Left;0.01491085;0.4025299;2.739841
Elbow-Right;0.3232832;0.2022875;2.689999
Elbow-Left;-0.02841967;0.1691126;2.680222
Wrist-Right;0.1901285;0.2430559;2.543143
Wrist-Left;0.06906796;0.2089641;2.481395
Hand-Right;0.1296199;0.2351202;2.539743
Hand-Left;0.08118084;0.2352494;2.411795
Spine;0.1315845;0.1603129;2.719158
Hip-centro;0.1248342;0.1047922;2.661414
Hip-Right;0.177074;0.04546051;2.642294
Hip-Left;0.06920715;0.05176282;2.65324
Knee-Right;0.1616793;-0.4152565;2.687617
Knee-Left;0.1041526;-0.3445159;2.725099
Ankle-Right;0.1652061;-0.7572985;2.671399
Ankle-Left;0.138091;-0.725389;2.706543
Foot-Right;0.1299579;-0.8169928;2.653744
Foot-Left;0.1293484;-0.757044;2.629454
Head;0.1531683;0.67589;2.723885
Shoulder-Center;0.1353023;0.5051985;2.743695
Shoulder-Right;0.2658934;0.3861627;2.707427
Shoulder-Left;0.01474915;0.4027435;2.740182
Elbow-Right;0.3211257;0.2011175;2.68617
Elbow-Left;-0.02807043;0.1691983;2.67875
Wrist-Right;0.1879718;0.2446376;2.540186
Wrist-Left;0.06941721;0.2090498;2.479924
Hand-Right;0.1274635;0.2367019;2.536786
Hand-Left;0.08153009;0.2353351;2.410324
Spine;0.1317867;0.1604315;2.7189
Hip-centro;0.124662;0.1048726;2.661234
Hip-Right;0.1766385;0.04618585;2.641966
Hip-Left;0.06918119;0.05175013;2.653209
Knee-Right;0.1608095;-0.4155414;2.687745
Knee-Left;0.1041199;-0.3434848;2.723159
Ankle-Right;0.1650482;-0.7574309;2.671365
Ankle-Left;0.1380687;-0.7243429;2.705892
Foot-Right;0.1238559;-0.8200449;2.670116
Foot-Left;0.1286722;-0.7559935;2.628882
Head;0.1509946;0.6759504;2.723851
Shoulder-Center;0.1346765;0.5058765;2.743365
Shoulder-Right;0.2630176;0.3855237;2.706221
Shoulder-Left;0.0133488;0.4037703;2.741842
Elbow-Right;0.3205993;0.201215;2.685613
Elbow-Left;-0.02853888;0.1691348;2.679034
Wrist-Right;0.1874085;0.2460174;2.540097
Wrist-Left;0.06894877;0.2089863;2.480207
Hand-Right;0.1269007;0.2380818;2.536696
Hand-Left;0.08106165;0.2352716;2.410607
Spine;0.1316363;0.1607735;2.718762
Hip-centro;0.1240151;0.1051219;2.661193
Hip-Right;0.1754824;0.04695122;2.642096
Hip-Left;0.06885269;0.05196205;2.653258
Knee-Right;0.1593107;-0.4145381;2.687079
Knee-Left;0.101666;-0.3459786;2.724872
Ankle-Right;0.1643312;-0.7575613;2.67133
Ankle-Left;0.1353129;-0.7268488;2.708745
Foot-Right;0.1209392;-0.8203918;2.671931
Foot-Left;0.09372421;-0.8137246;2.711446
Head;0.1493911;0.6754563;2.723643
Shoulder-Center;0.132036;0.5061161;2.743171
Shoulder-Right;0.2626883;0.3855724;2.706131
Shoulder-Left;0.01074205;0.403819;2.743238
Elbow-Right;0.3164479;0.2000806;2.683891
Elbow-Left;-0.04492992;0.1787357;2.704766
Wrist-Right;0.1833608;0.2460874;2.538688
Wrist-Left;0.05255779;0.2185872;2.505939
Hand-Right;0.1228534;0.2381519;2.535288
Hand-Left;0.06467067;0.2448725;2.436339
Spine;0.1304552;0.1611565;2.718466
Hip-centro;0.1228212;0.1055149;2.660931
Hip-Right;0.1746805;0.04748226;2.641515
Hip-Left;0.06764113;0.05181415;2.653308
Knee-Right;0.1575635;-0.4154163;2.687068
Knee-Left;0.08698781;-0.3461773;2.734958
Ankle-Right;0.1611718;-0.7550048;2.672689
Ankle-Left;0.1208263;-0.7270144;2.719912
Foot-Right;0.1046557;-0.8205708;2.655928
Foot-Left;0.08803342;-0.8168452;2.708119
Head;0.1460232;0.6741312;2.722611
Shoulder-Center;0.1295241;0.5059922;2.743664
Shoulder-Right;0.2611592;0.3865781;2.705952
Shoulder-Left;0.008893535;0.4023695;2.743037
Elbow-Right;0.3115773;0.2001259;2.68089
Elbow-Left;-0.03459428;0.1853165;2.646462
Wrist-Right;0.1785235;0.2460441;2.535628
Wrist-Left;0.06289335;0.225168;2.447636
Hand-Right;0.1180165;0.2381086;2.532228
Hand-Left;0.07500623;0.2514533;2.378035
Spine;0.1278681;0.1612624;2.718476
Hip-centro;0.1201369;0.1057655;2.660892
Hip-Right;0.1719867;0.04817037;2.640254
Hip-Left;0.0647417;0.0514648;2.654377
Knee-Right;0.1549344;-0.4164272;2.686833
Knee-Left;0.08568084;-0.346336;2.735389
Ankle-Right;0.1557469;-0.7572449;2.672099
Ankle-Left;0.1202189;-0.7271446;2.719475
Foot-Right;0.09905049;-0.8224177;2.650254
Foot-Left;0.08590785;-0.8106433;2.685788
Head;0.1413249;0.672956;2.721856
Shoulder-Center;0.1237795;0.5052716;2.745071
Shoulder-Right;0.254951;0.3897642;2.705793
Shoulder-Left;-0.004200626;0.4093212;2.756769
Elbow-Right;0.3099166;0.2046041;2.681141
Elbow-Left;-0.01758028;0.1954643;2.590068
Wrist-Right;0.1767168;0.2449889;2.534233
Wrist-Left;0.07990735;0.2353158;2.391242
Hand-Right;0.1162102;0.2370534;2.530833
Hand-Left;0.09202023;0.2616012;2.321641
Spine;0.1242754;0.1619205;2.718645
Hip-centro;0.1144533;0.1068768;2.661264
Hip-Right;0.1676465;0.04887328;2.640017
Hip-Left;0.05823264;0.05241069;2.65502
Knee-Right;0.1531947;-0.4169768;2.686685
Knee-Left;0.08030298;-0.3447325;2.731646
Ankle-Right;0.1536824;-0.7577745;2.671504
Ankle-Left;0.1149698;-0.7253964;2.720348
Foot-Right;0.09748317;-0.8217224;2.649079
Foot-Left;0.08337401;-0.809677;2.685959
Head;0.1362378;0.6723869;2.721548
Shoulder-Center;0.1166572;0.5065151;2.744974
Shoulder-Right;0.250879;0.3897857;2.706188
Shoulder-Left;-0.008596345;0.4108538;2.759313
Elbow-Right;0.3069767;0.2049722;2.682321
Elbow-Left;-0.05398189;0.1687736;2.692163
Wrist-Right;0.173808;0.2430431;2.534708
Wrist-Left;0.04350574;0.2086251;2.493337
Hand-Right;0.1133019;0.2351077;2.531308
