Head;0.2387811;0.7651712;2.843988
Shoulder-Center;0.2577713;0.604556;2.866131
Shoulder-Right;0.3261771;0.503477;2.77547
Shoulder-Left;0.1653703;0.4530357;2.874443
Elbow-Right;0.4985396;0.4044724;2.65527
Elbow-Left;0.09177225;0.4426308;3.017372
Wrist-Right;0.4063285;0.2485363;2.653087
Wrist-Left;0.09159529;0.3249369;2.859365
Hand-Right;0.3755915;0.1965576;2.656187
Hand-Left;0.07564972;0.2835656;2.820801
Spine;0.2785753;0.2085655;2.854668
Hip-centro;0.2558181;0.1349623;2.81246
Hip-Right;0.2935408;0.1044806;2.802433
Hip-Left;0.2177445;0.08786631;2.812037
Knee-Right;0.3271385;-0.3069117;2.794674
Knee-Left;0.2681103;-0.2904671;2.882872
Ankle-Right;0.3490881;-0.6325319;2.795713
Ankle-Left;0.2757804;-0.6390449;2.93163
Foot-Right;0.2715253;-0.7047663;2.809246
Foot-Left;0.2762869;-0.7100525;2.896266
Head;0.2391348;0.7650564;2.842829
Shoulder-Center;0.2572923;0.604893;2.866481
Shoulder-Right;0.3267085;0.5032029;2.775161
Shoulder-Left;0.1599116;0.4342574;2.871998
Elbow-Right;0.4985381;0.4044388;2.655253
Elbow-Left;0.09142151;0.443683;3.017156
Wrist-Right;0.4060113;0.248641;2.652077
Wrist-Left;0.09099904;0.3239811;2.858284
Hand-Right;0.3751691;0.1967085;2.654846
Hand-Left;0.07505361;0.2826102;2.819721
Spine;0.2778192;0.2098623;2.856169
Hip-centro;0.2554769;0.1366968;2.814031
Hip-Right;0.2943995;0.1049394;2.803518
Hip-Left;0.2159179;0.08910263;2.81377
Knee-Right;0.3272325;-0.3069273;2.7947
Knee-Left;0.2547382;-0.2930055;2.899675
Ankle-Right;0.3478602;-0.6319776;2.795388
Ankle-Left;0.2767981;-0.6374205;2.936538
Foot-Right;0.2699106;-0.7036245;2.80982
Foot-Left;0.2797705;-0.7103789;2.892062
Head;0.2385591;0.7661363;2.840089
Shoulder-Center;0.2590589;0.6072003;2.866248
Shoulder-Right;0.3265969;0.5027921;2.775255
Shoulder-Left;0.1567231;0.4340912;2.877967
Elbow-Right;0.4985485;0.4043971;2.655224
